Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
PartyOnboardingPersonal,Chrome 76.0.3809.100,,,2019-08-20 16:50:14,2019-08-20 16:55:59,5m - 45.279s,INCOMPLETE
,,,,,,,
Test Cases/Login,Chrome 76.0.3809.100,"user: user31
Pass: user31",,2019-08-20 16:50:14,2019-08-20 16:50:26,11.474s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 76.0.3809.100,,,2019-08-20 16:50:14,2019-08-20 16:50:15,0.279s,PASSED
logger = new com.kms.katalon.core.util.KeywordUtil(),Chrome 76.0.3809.100,,,2019-08-20 16:50:15,2019-08-20 16:50:15,0.010s,PASSED
loginPage = new pageObjects.LoginPage(),Chrome 76.0.3809.100,,,2019-08-20 16:50:15,2019-08-20 16:50:15,0.070s,PASSED
"logger.logInfo(""Login - Step01 - Open browser"")",Chrome 76.0.3809.100,,,2019-08-20 16:50:15,2019-08-20 16:50:15,0.006s,PASSED
"loginPage.openBrowser(url, active)",Chrome 76.0.3809.100,,,2019-08-20 16:50:15,2019-08-20 16:50:24,8.728s,PASSED
"logger.logInfo(""Login - Step02 - Input Username"")",Chrome 76.0.3809.100,,,2019-08-20 16:50:24,2019-08-20 16:50:24,0.001s,PASSED
"loginPage.inputUsername(username, active)",Chrome 76.0.3809.100,,,2019-08-20 16:50:24,2019-08-20 16:50:24,0.323s,PASSED
"logger.logInfo(""Login - Step03 - Input Password"")",Chrome 76.0.3809.100,,,2019-08-20 16:50:24,2019-08-20 16:50:24,0.002s,PASSED
"loginPage.inputPassword(password, active)",Chrome 76.0.3809.100,,,2019-08-20 16:50:24,2019-08-20 16:50:24,0.149s,PASSED
"logger.logInfo(""Login - Step04 - Click Sign In button"")",Chrome 76.0.3809.100,,,2019-08-20 16:50:24,2019-08-20 16:50:24,0.002s,PASSED
loginPage.clickSingin(active),Chrome 76.0.3809.100,,,2019-08-20 16:50:24,2019-08-20 16:50:26,1.351s,PASSED
"logger.logInfo(""Login - wait load page"")",Chrome 76.0.3809.100,,,2019-08-20 16:50:26,2019-08-20 16:50:26,0.002s,PASSED
loginPage.waitLoadPage(active),Chrome 76.0.3809.100,,,2019-08-20 16:50:26,2019-08-20 16:50:26,0.122s,PASSED
,,,,,,,
Test Cases/DataPreparation/PartyOnboardingPersonal,Chrome 76.0.3809.100,Data Preparation,,2019-08-20 16:50:26,2019-08-20 16:51:45,1m - 19.248s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 76.0.3809.100,,,2019-08-20 16:50:26,2019-08-20 16:50:26,0.010s,PASSED
partyOnboardingPersonal = new pageObjects.PartyOnboardingPersonal(),Chrome 76.0.3809.100,,,2019-08-20 16:50:26,2019-08-20 16:50:26,0.049s,PASSED
abtractTest = new commons.AbtractTest(),Chrome 76.0.3809.100,,,2019-08-20 16:50:26,2019-08-20 16:50:26,0.002s,PASSED
excelFiles = new report.ExcelFiles(),Chrome 76.0.3809.100,,,2019-08-20 16:50:26,2019-08-20 16:50:26,0.002s,PASSED
log = new com.kms.katalon.core.util.KeywordUtil(),Chrome 76.0.3809.100,,,2019-08-20 16:50:26,2019-08-20 16:50:26,0.001s,PASSED
"results = """"",Chrome 76.0.3809.100,,,2019-08-20 16:50:26,2019-08-20 16:50:26,0.002s,PASSED
delay(3),Chrome 76.0.3809.100,,,2019-08-20 16:50:26,2019-08-20 16:50:30,3.043s,PASSED
"log.logInfo(""--- Open Party Onboarding in Menu Search ---"")",Chrome 76.0.3809.100,,,2019-08-20 16:50:30,2019-08-20 16:50:30,0.001s,PASSED
partyOnboardingPersonal.inputPartyOnboardingMenuSearch(),Chrome 76.0.3809.100,,,2019-08-20 16:50:30,2019-08-20 16:50:30,0.452s,PASSED
"log.logInfo(""--- Input Local Global ---"")",Chrome 76.0.3809.100,,,2019-08-20 16:50:30,2019-08-20 16:50:30,0.001s,PASSED
partyOnboardingPersonal.inputLocalGlobal(s05_localglobal),Chrome 76.0.3809.100,,,2019-08-20 16:50:30,2019-08-20 16:50:32,1.799s,PASSED
"log.logInfo(""--- Input Party Type ---"")",Chrome 76.0.3809.100,,,2019-08-20 16:50:32,2019-08-20 16:50:32,0.001s,PASSED
partyOnboardingPersonal.inputPartyType(s05_partytype),Chrome 76.0.3809.100,,,2019-08-20 16:50:32,2019-08-20 16:50:32,0.338s,PASSED
"log.logInfo(""--- Input Party Sub Type ---"")",Chrome 76.0.3809.100,,,2019-08-20 16:50:32,2019-08-20 16:50:32,0.002s,PASSED
partyOnboardingPersonal.inputPartySubType(s05_partysubtype),Chrome 76.0.3809.100,,,2019-08-20 16:50:32,2019-08-20 16:50:33,1.273s,PASSED
"log.logInfo(""--- Input Party Category ---"")",Chrome 76.0.3809.100,,,2019-08-20 16:50:33,2019-08-20 16:50:33,0.001s,PASSED
partyOnboardingPersonal.inputPartyCategory(s05_partycategory),Chrome 76.0.3809.100,,,2019-08-20 16:50:33,2019-08-20 16:50:34,0.199s,PASSED
"log.logInfo(""--- Check Line of Business ---"")",Chrome 76.0.3809.100,,,2019-08-20 16:50:34,2019-08-20 16:50:34,0.002s,PASSED
"log.logInfo(""--- Click Next to Party Check List  ---"")",Chrome 76.0.3809.100,,,2019-08-20 16:50:34,2019-08-20 16:50:34,0.001s,PASSED
partyOnboardingPersonal.clickNextbutton(),Chrome 76.0.3809.100,,,2019-08-20 16:50:34,2019-08-20 16:50:34,0.279s,PASSED
delay(1),Chrome 76.0.3809.100,,,2019-08-20 16:50:34,2019-08-20 16:50:35,1.001s,PASSED
"log.logInfo(""--- Click Next to Party Pre-Existence Check  ---"")",Chrome 76.0.3809.100,,,2019-08-20 16:50:35,2019-08-20 16:50:35,0.002s,PASSED
partyOnboardingPersonal.clickNextbutton(),Chrome 76.0.3809.100,,,2019-08-20 16:50:35,2019-08-20 16:50:35,0.148s,PASSED
delay(1),Chrome 76.0.3809.100,,,2019-08-20 16:50:35,2019-08-20 16:50:36,1.004s,PASSED
"log.logInfo(""--- Input data on Party Pre-Existence Check  ---"")",Chrome 76.0.3809.100,,,2019-08-20 16:50:36,2019-08-20 16:50:36,0.001s,PASSED
"partyOnboardingPersonal.inputPreExistenceCheck(s08_firstname, s08_dateofbirth, s08_nationalldType, s08_nationalldNo, s08_lastname, s08_strState, s08_district01, s08_district02, s08_district03, s08_strType, s08_strregstrationNo)",Chrome 76.0.3809.100,,,2019-08-20 16:50:36,2019-08-20 16:50:37,1.076s,PASSED
"log.logInfo(""--- Click Next button ---"")",Chrome 76.0.3809.100,,,2019-08-20 16:50:37,2019-08-20 16:50:37,0.001s,PASSED
partyOnboardingPersonal.clickNextbutton(),Chrome 76.0.3809.100,,,2019-08-20 16:50:37,2019-08-20 16:50:37,0.145s,PASSED
"log.logInfo(""--- Key in data all required fields on Personal Party - PartyId ---"")",Chrome 76.0.3809.100,,,2019-08-20 16:50:37,2019-08-20 16:50:37,0.001s,PASSED
partyOnboardingPersonal.inputPartyId(),Chrome 76.0.3809.100,,,2019-08-20 16:50:37,2019-08-20 16:51:10,32.617s,PASSED
