Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
PartyOnboardingPersonal,Chrome 76.0.3809.100,,,2019-08-22 20:29:55,2019-08-22 20:34:51,4m - 56.607s,INCOMPLETE
,,,,,,,
Test Cases/Login,Chrome 76.0.3809.100,"user: user31
Pass: user31",,2019-08-22 20:29:55,2019-08-22 20:30:11,15.386s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 76.0.3809.100,,,2019-08-22 20:29:55,2019-08-22 20:29:56,0.213s,PASSED
logger = new com.kms.katalon.core.util.KeywordUtil(),Chrome 76.0.3809.100,,,2019-08-22 20:29:56,2019-08-22 20:29:56,0.009s,PASSED
loginPage = new pageObjects.LoginPage(),Chrome 76.0.3809.100,,,2019-08-22 20:29:56,2019-08-22 20:29:56,0.037s,PASSED
"logger.logInfo(""Login - Step01 - Open browser"")",Chrome 76.0.3809.100,,,2019-08-22 20:29:56,2019-08-22 20:29:56,0.003s,PASSED
"loginPage.openBrowser(url, active)",Chrome 76.0.3809.100,,,2019-08-22 20:29:56,2019-08-22 20:30:09,12.640s,PASSED
"logger.logInfo(""Login - Step02 - Input Username"")",Chrome 76.0.3809.100,,,2019-08-22 20:30:09,2019-08-22 20:30:09,0.004s,PASSED
"loginPage.inputUsername(username, active)",Chrome 76.0.3809.100,,,2019-08-22 20:30:09,2019-08-22 20:30:09,0.311s,PASSED
"logger.logInfo(""Login - Step03 - Input Password"")",Chrome 76.0.3809.100,,,2019-08-22 20:30:09,2019-08-22 20:30:09,0.002s,PASSED
"loginPage.inputPassword(password, active)",Chrome 76.0.3809.100,,,2019-08-22 20:30:09,2019-08-22 20:30:09,0.174s,PASSED
"logger.logInfo(""Login - Step04 - Click Sign In button"")",Chrome 76.0.3809.100,,,2019-08-22 20:30:09,2019-08-22 20:30:09,0.002s,PASSED
loginPage.clickSingin(active),Chrome 76.0.3809.100,,,2019-08-22 20:30:09,2019-08-22 20:30:10,1.448s,PASSED
"logger.logInfo(""Login - wait load page"")",Chrome 76.0.3809.100,,,2019-08-22 20:30:10,2019-08-22 20:30:10,0.001s,PASSED
loginPage.waitLoadPage(active),Chrome 76.0.3809.100,,,2019-08-22 20:30:10,2019-08-22 20:30:11,0.106s,PASSED
,,,,,,,
Test Cases/DataPreparation/PartyOnboardingPersonal,Chrome 76.0.3809.100,Data Preparation,,2019-08-22 20:30:11,2019-08-22 20:34:51,4m - 40.478s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 76.0.3809.100,,,2019-08-22 20:30:11,2019-08-22 20:30:11,0.002s,PASSED
partyOnboardingPersonal = new pageObjects.PartyOnboarding(),Chrome 76.0.3809.100,,,2019-08-22 20:30:11,2019-08-22 20:30:11,0.057s,PASSED
abtractTest = new commons.AbtractTest(),Chrome 76.0.3809.100,,,2019-08-22 20:30:11,2019-08-22 20:30:11,0.005s,PASSED
excelFiles = new report.ExcelFiles(),Chrome 76.0.3809.100,,,2019-08-22 20:30:11,2019-08-22 20:30:11,0.002s,PASSED
log = new com.kms.katalon.core.util.KeywordUtil(),Chrome 76.0.3809.100,,,2019-08-22 20:30:11,2019-08-22 20:30:11,0.001s,PASSED
"results = """"",Chrome 76.0.3809.100,,,2019-08-22 20:30:11,2019-08-22 20:30:11,0.001s,PASSED
delay(3),Chrome 76.0.3809.100,,,2019-08-22 20:30:11,2019-08-22 20:30:14,3.039s,PASSED
"log.logInfo(""--- Open Party Onboarding in Menu Search ---"")",Chrome 76.0.3809.100,,,2019-08-22 20:30:14,2019-08-22 20:30:14,0.002s,PASSED
partyOnboardingPersonal.inputPartyOnboardingMenuSearch(),Chrome 76.0.3809.100,,,2019-08-22 20:30:14,2019-08-22 20:30:15,0.552s,PASSED
"log.logInfo(""--- Input Local Global ---"")",Chrome 76.0.3809.100,,,2019-08-22 20:30:15,2019-08-22 20:30:15,0.001s,PASSED
delay(3),Chrome 76.0.3809.100,,,2019-08-22 20:30:15,2019-08-22 20:30:18,3.008s,PASSED
partyOnboardingPersonal.inputLocalGlobal(s05_localglobal),Chrome 76.0.3809.100,,,2019-08-22 20:30:18,2019-08-22 20:30:18,0.446s,PASSED
"log.logInfo(""--- Input Party Type ---"")",Chrome 76.0.3809.100,,,2019-08-22 20:30:18,2019-08-22 20:30:18,0.001s,PASSED
delay(3),Chrome 76.0.3809.100,,,2019-08-22 20:30:18,2019-08-22 20:30:21,3.004s,PASSED
partyOnboardingPersonal.inputPartyType(s05_partytype),Chrome 76.0.3809.100,,,2019-08-22 20:30:21,2019-08-22 20:30:21,0.339s,PASSED
"log.logInfo(""--- Input Party Sub Type ---"")",Chrome 76.0.3809.100,,,2019-08-22 20:30:21,2019-08-22 20:30:21,0.001s,PASSED
delay(3),Chrome 76.0.3809.100,,,2019-08-22 20:30:21,2019-08-22 20:30:24,3.003s,PASSED
partyOnboardingPersonal.inputPartySubType(s05_partysubtype),Chrome 76.0.3809.100,,,2019-08-22 20:30:24,2019-08-22 20:30:26,1.300s,PASSED
