Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
PartyOnboardingPersonal,Chrome 76.0.3809.100,,,2019-08-21 21:53:30,2019-08-21 21:54:19,49.298s,INCOMPLETE
,,,,,,,
Test Cases/Login,Chrome 76.0.3809.100,"user: user31
Pass: user31",,2019-08-21 21:53:30,2019-08-21 21:53:42,11.751s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 76.0.3809.100,,,2019-08-21 21:53:30,2019-08-21 21:53:31,0.220s,PASSED
logger = new com.kms.katalon.core.util.KeywordUtil(),Chrome 76.0.3809.100,,,2019-08-21 21:53:31,2019-08-21 21:53:31,0.007s,PASSED
loginPage = new pageObjects.LoginPage(),Chrome 76.0.3809.100,,,2019-08-21 21:53:31,2019-08-21 21:53:31,0.064s,PASSED
"logger.logInfo(""Login - Step01 - Open browser"")",Chrome 76.0.3809.100,,,2019-08-21 21:53:31,2019-08-21 21:53:31,0.003s,PASSED
"loginPage.openBrowser(url, active)",Chrome 76.0.3809.100,,,2019-08-21 21:53:31,2019-08-21 21:53:40,8.617s,PASSED
"logger.logInfo(""Login - Step02 - Input Username"")",Chrome 76.0.3809.100,,,2019-08-21 21:53:40,2019-08-21 21:53:40,0.002s,PASSED
"loginPage.inputUsername(username, active)",Chrome 76.0.3809.100,,,2019-08-21 21:53:40,2019-08-21 21:53:40,0.447s,PASSED
"logger.logInfo(""Login - Step03 - Input Password"")",Chrome 76.0.3809.100,,,2019-08-21 21:53:40,2019-08-21 21:53:40,0.001s,PASSED
"loginPage.inputPassword(password, active)",Chrome 76.0.3809.100,,,2019-08-21 21:53:40,2019-08-21 21:53:40,0.263s,PASSED
"logger.logInfo(""Login - Step04 - Click Sign In button"")",Chrome 76.0.3809.100,,,2019-08-21 21:53:40,2019-08-21 21:53:40,0.003s,PASSED
loginPage.clickSingin(active),Chrome 76.0.3809.100,,,2019-08-21 21:53:40,2019-08-21 21:53:42,1.522s,PASSED
"logger.logInfo(""Login - wait load page"")",Chrome 76.0.3809.100,,,2019-08-21 21:53:42,2019-08-21 21:53:42,0.001s,PASSED
loginPage.waitLoadPage(active),Chrome 76.0.3809.100,,,2019-08-21 21:53:42,2019-08-21 21:53:42,0.092s,PASSED
,,,,,,,
Test Cases/DataPreparation/ApprovalDataPreparation,Chrome 76.0.3809.100,,,2019-08-21 21:53:42,2019-08-21 21:54:19,37.169s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 76.0.3809.100,,,2019-08-21 21:53:42,2019-08-21 21:53:42,0.001s,PASSED
log = new com.kms.katalon.core.util.KeywordUtil(),Chrome 76.0.3809.100,,,2019-08-21 21:53:42,2019-08-21 21:53:42,0.001s,PASSED
notificationPage = new pageObjects.NotificationPage(),Chrome 76.0.3809.100,,,2019-08-21 21:53:42,2019-08-21 21:53:42,0.061s,PASSED
"step = """"",Chrome 76.0.3809.100,,,2019-08-21 21:53:42,2019-08-21 21:53:42,0.001s,PASSED
"step = ""1""",Chrome 76.0.3809.100,,,2019-08-21 21:53:42,2019-08-21 21:53:42,0.001s,PASSED
"log.logInfo(""Approval - Step0"" + step + "" Click Notification icon"")",Chrome 76.0.3809.100,,,2019-08-21 21:53:42,2019-08-21 21:53:42,0.001s,PASSED
notificationPage.clickNotificationIcon(),Chrome 76.0.3809.100,,,2019-08-21 21:53:42,2019-08-21 21:53:45,2.266s,PASSED
"step = ""2""",Chrome 76.0.3809.100,,,2019-08-21 21:53:45,2019-08-21 21:53:45,0.001s,PASSED
"log.logInfo(""Approval - Step0"" + step + "" Click Referral description"")",Chrome 76.0.3809.100,,,2019-08-21 21:53:45,2019-08-21 21:53:45,0.002s,PASSED
"notificationPage.clickDescription(""Referral"")",Chrome 76.0.3809.100,,,2019-08-21 21:53:45,2019-08-21 21:53:47,1.930s,PASSED
"step = ""3""",Chrome 76.0.3809.100,,,2019-08-21 21:53:47,2019-08-21 21:53:47,0.001s,PASSED
"log.logInfo(""Approval - Step0"" + step + "" Click Approval for Party"")",Chrome 76.0.3809.100,,,2019-08-21 21:53:47,2019-08-21 21:53:47,0.001s,PASSED
notificationPage.clickApproved(description),Chrome 76.0.3809.100,,,2019-08-21 21:53:47,2019-08-21 21:54:19,32.633s,PASSED
