Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
PartyOnboardingPersonal,Chrome 76.0.3809.100,,,2019-08-21 20:38:45,2019-08-21 20:53:36,14m - 51.018s,INCOMPLETE
,,,,,,,
Test Cases/Login,Chrome 76.0.3809.100,"user: user31
Pass: user31",,2019-08-21 20:38:45,2019-08-21 20:38:56,11.127s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 76.0.3809.100,,,2019-08-21 20:38:45,2019-08-21 20:38:45,0.256s,PASSED
logger = new com.kms.katalon.core.util.KeywordUtil(),Chrome 76.0.3809.100,,,2019-08-21 20:38:46,2019-08-21 20:38:46,0.008s,PASSED
loginPage = new pageObjects.LoginPage(),Chrome 76.0.3809.100,,,2019-08-21 20:38:46,2019-08-21 20:38:46,0.033s,PASSED
"logger.logInfo(""Login - Step01 - Open browser"")",Chrome 76.0.3809.100,,,2019-08-21 20:38:46,2019-08-21 20:38:46,0.003s,PASSED
"loginPage.openBrowser(url, active)",Chrome 76.0.3809.100,,,2019-08-21 20:38:46,2019-08-21 20:38:54,8.685s,PASSED
"logger.logInfo(""Login - Step02 - Input Username"")",Chrome 76.0.3809.100,,,2019-08-21 20:38:54,2019-08-21 20:38:54,0.002s,PASSED
"loginPage.inputUsername(username, active)",Chrome 76.0.3809.100,,,2019-08-21 20:38:54,2019-08-21 20:38:55,0.377s,PASSED
"logger.logInfo(""Login - Step03 - Input Password"")",Chrome 76.0.3809.100,,,2019-08-21 20:38:55,2019-08-21 20:38:55,0.001s,PASSED
"loginPage.inputPassword(password, active)",Chrome 76.0.3809.100,,,2019-08-21 20:38:55,2019-08-21 20:38:55,0.163s,PASSED
"logger.logInfo(""Login - Step04 - Click Sign In button"")",Chrome 76.0.3809.100,,,2019-08-21 20:38:55,2019-08-21 20:38:55,0.002s,PASSED
loginPage.clickSingin(active),Chrome 76.0.3809.100,,,2019-08-21 20:38:55,2019-08-21 20:38:56,1.136s,PASSED
"logger.logInfo(""Login - wait load page"")",Chrome 76.0.3809.100,,,2019-08-21 20:38:56,2019-08-21 20:38:56,0.002s,PASSED
loginPage.waitLoadPage(active),Chrome 76.0.3809.100,,,2019-08-21 20:38:56,2019-08-21 20:38:56,0.074s,PASSED
,,,,,,,
Test Cases/DataPreparation/PartyOnboardingEnterprise,Chrome 76.0.3809.100,,,2019-08-21 20:38:56,2019-08-21 20:41:23,2m - 27.272s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 76.0.3809.100,,,2019-08-21 20:38:56,2019-08-21 20:38:56,0.002s,PASSED
log = new com.kms.katalon.core.util.KeywordUtil(),Chrome 76.0.3809.100,,,2019-08-21 20:38:57,2019-08-21 20:38:57,0.001s,PASSED
partyOnboardingEnterprise = new pageObjects.PartyOnboarding(),Chrome 76.0.3809.100,,,2019-08-21 20:38:57,2019-08-21 20:38:57,0.043s,PASSED
delay(3),Chrome 76.0.3809.100,,,2019-08-21 20:38:57,2019-08-21 20:39:00,3.028s,PASSED
"log.logInfo(""--- Open Party Onboarding in Menu Search ---"")",Chrome 76.0.3809.100,,,2019-08-21 20:39:00,2019-08-21 20:39:00,0.002s,PASSED
partyOnboardingEnterprise.inputPartyOnboardingMenuSearch(),Chrome 76.0.3809.100,,,2019-08-21 20:39:00,2019-08-21 20:39:00,0.429s,PASSED
"log.logInfo(""/---------------Party Onboarding---------------/"")",Chrome 76.0.3809.100,,,2019-08-21 20:39:00,2019-08-21 20:39:00,0.001s,PASSED
"log.logInfo(""--- Input Local Global ---"")",Chrome 76.0.3809.100,,,2019-08-21 20:39:00,2019-08-21 20:39:00,0.005s,PASSED
partyOnboardingEnterprise.inputLocalGlobal(s01_localglobal),Chrome 76.0.3809.100,,,2019-08-21 20:39:00,2019-08-21 20:39:02,1.714s,PASSED
"log.logInfo(""--- Input Party Type ---"")",Chrome 76.0.3809.100,,,2019-08-21 20:39:02,2019-08-21 20:39:02,0.001s,PASSED
partyOnboardingEnterprise.inputPartyType(s01_partytype),Chrome 76.0.3809.100,,,2019-08-21 20:39:02,2019-08-21 20:39:02,0.340s,PASSED
"log.logInfo(""--- Input Party Sub Type ---"")",Chrome 76.0.3809.100,,,2019-08-21 20:39:02,2019-08-21 20:39:02,0.003s,PASSED
partyOnboardingEnterprise.inputPartySubType(s01_partysubtype),Chrome 76.0.3809.100,,,2019-08-21 20:39:02,2019-08-21 20:39:04,1.992s,PASSED
"log.logInfo(""--- Input Party Category ---"")",Chrome 76.0.3809.100,,,2019-08-21 20:39:04,2019-08-21 20:39:04,0.000s,PASSED
partyOnboardingEnterprise.inputPartyCategory(s01_partycategory),Chrome 76.0.3809.100,,,2019-08-21 20:39:04,2019-08-21 20:39:04,0.191s,PASSED
"log.logInfo(""--- Check Line of Business ---"")",Chrome 76.0.3809.100,,,2019-08-21 20:39:04,2019-08-21 20:39:04,0.001s,PASSED
"partyOnboardingEnterprise.clickLineofBusiness(s01_lineofbusiness, findTestObject(""PartyOnboarding/PartyOnboarding/div_Core Banking""))",Chrome 76.0.3809.100,,,2019-08-21 20:39:04,2019-08-21 20:39:05,0.831s,PASSED
"log.logInfo(""--- Click Next to Party Check List  ---"")",Chrome 76.0.3809.100,,,2019-08-21 20:39:05,2019-08-21 20:39:05,0.001s,PASSED
partyOnboardingEnterprise.clickNextbutton(),Chrome 76.0.3809.100,,,2019-08-21 20:39:05,2019-08-21 20:39:05,0.214s,PASSED
delay(1),Chrome 76.0.3809.100,,,2019-08-21 20:39:05,2019-08-21 20:39:06,1.002s,PASSED
partyOnboardingEnterprise.clickNextbutton(),Chrome 76.0.3809.100,,,2019-08-21 20:39:06,2019-08-21 20:39:07,0.147s,PASSED
"log.logInfo(""/---------------Pre-Existence Check---------------/"")",Chrome 76.0.3809.100,,,2019-08-21 20:39:07,2019-08-21 20:39:07,0.001s,PASSED
partyOnboardingEnterprise.inputEnterpriseName(s02_enterpriseName),Chrome 76.0.3809.100,,,2019-08-21 20:39:07,2019-08-21 20:39:07,0.770s,PASSED
partyOnboardingEnterprise.inputRegistration(),Chrome 76.0.3809.100,,,2019-08-21 20:39:07,2019-08-21 20:39:08,0.196s,PASSED
partyOnboardingEnterprise.clickNextbutton(),Chrome 76.0.3809.100,,,2019-08-21 20:39:08,2019-08-21 20:39:08,0.104s,PASSED
"log.logInfo(""/--------------- Party Onboarding---------------/"")",Chrome 76.0.3809.100,,,2019-08-21 20:39:08,2019-08-21 20:39:08,0.000s,PASSED
partyOnboardingEnterprise.inputPartyId(),Chrome 76.0.3809.100,,,2019-08-21 20:39:08,2019-08-21 20:39:41,32.888s,PASSED
partyOnboardingEnterprise.inputShortNameEnterprise(s03_shortName),Chrome 76.0.3809.100,,,2019-08-21 20:39:41,2019-08-21 20:39:41,0.240s,PASSED
partyOnboardingEnterprise.clickNextbutton(),Chrome 76.0.3809.100,,,2019-08-21 20:39:41,2019-08-21 20:39:41,0.206s,PASSED
partyOnboardingEnterprise.clickProcessInWarningBox(),Chrome 76.0.3809.100,,,2019-08-21 20:39:41,2019-08-21 20:39:42,0.715s,PASSED
"log.logInfo(""/--------------- Party Onboarding - Address---------------/"")",Chrome 76.0.3809.100,,,2019-08-21 20:39:42,2019-08-21 20:39:42,0.001s,PASSED
"partyOnboardingEnterprise.inputRDataForAddressParty(s04_addressType, s04_userForCommunication, s04_validFrom)",Chrome 76.0.3809.100,,,2019-08-21 20:39:42,2019-08-21 20:39:47,4.971s,PASSED
partyOnboardingEnterprise.clickNextbutton(),Chrome 76.0.3809.100,,,2019-08-21 20:39:47,2019-08-21 20:39:47,0.149s,PASSED
"partyOnboardingEnterprise.inputDataForPartyContacts(s05_contactMethod, s05_contactTypeLocation, s05_contactCountryCode, s05_contactAreaCode, s05_contactNumber, s05_contactEmail, s05_confirmEmail, s05_validFrom)",Chrome 76.0.3809.100,,,2019-08-21 20:39:47,2019-08-21 20:40:02,14.818s,PASSED
partyOnboardingEnterprise.clickNextbutton(),Chrome 76.0.3809.100,,,2019-08-21 20:40:02,2019-08-21 20:40:02,0.128s,PASSED
"partyOnboardingEnterprise.inputDataForPartyRequiredDocuments(s06_documentCategory, s06_kycExpired, s06_documentType, s06_validFrom, s06_validTo, s06_referenceNumber, s06_issuingAuthority, s06_issuingCountry, s06_documentVerified, s06_image, s06_documentCollectionStatus)",Chrome 76.0.3809.100,,,2019-08-21 20:40:02,2019-08-21 20:41:20,1m - 18.613s,PASSED
partyOnboardingEnterprise.clickNextbutton(),Chrome 76.0.3809.100,,,2019-08-21 20:41:20,2019-08-21 20:41:21,0.121s,PASSED
delay(1),Chrome 76.0.3809.100,,,2019-08-21 20:41:21,2019-08-21 20:41:22,1.001s,PASSED
"log.logInfo(""--- "" + "" Click Next button ---"")",Chrome 76.0.3809.100,,,2019-08-21 20:41:22,2019-08-21 20:41:22,0.001s,PASSED
partyOnboardingEnterprise.clickNextbutton(),Chrome 76.0.3809.100,,,2019-08-21 20:41:22,2019-08-21 20:41:22,0.141s,PASSED
"log.logInfo(""--- "" + "" Click Next button ---"")",Chrome 76.0.3809.100,,,2019-08-21 20:41:22,2019-08-21 20:41:22,0.000s,PASSED
delay(1),Chrome 76.0.3809.100,,,2019-08-21 20:41:22,2019-08-21 20:41:23,1.001s,PASSED
partyOnboardingEnterprise.clickNextbutton(),Chrome 76.0.3809.100,,,2019-08-21 20:41:23,2019-08-21 20:41:23,0.135s,PASSED
"log.logInfo(""--- "" + "" Click Process on Warning box ---"")",Chrome 76.0.3809.100,,,2019-08-21 20:41:23,2019-08-21 20:41:23,0.001s,PASSED
partyOnboardingEnterprise.clickAskForApprovalbutton(),Chrome 76.0.3809.100,,,2019-08-21 20:41:23,2019-08-21 20:41:23,0.678s,PASSED
,,,,,,,
Test Cases/DataPreparation/PartyOnboardingEnterprise,Chrome 76.0.3809.100,,,2019-08-21 20:41:23,2019-08-21 20:43:46,2m - 22.937s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 76.0.3809.100,,,2019-08-21 20:41:24,2019-08-21 20:41:24,0.001s,PASSED
log = new com.kms.katalon.core.util.KeywordUtil(),Chrome 76.0.3809.100,,,2019-08-21 20:41:24,2019-08-21 20:41:24,0.000s,PASSED
partyOnboardingEnterprise = new pageObjects.PartyOnboarding(),Chrome 76.0.3809.100,,,2019-08-21 20:41:24,2019-08-21 20:41:24,0.000s,PASSED
delay(3),Chrome 76.0.3809.100,,,2019-08-21 20:41:24,2019-08-21 20:41:27,3.001s,PASSED
"log.logInfo(""--- Open Party Onboarding in Menu Search ---"")",Chrome 76.0.3809.100,,,2019-08-21 20:41:27,2019-08-21 20:41:27,0.001s,PASSED
partyOnboardingEnterprise.inputPartyOnboardingMenuSearch(),Chrome 76.0.3809.100,,,2019-08-21 20:41:27,2019-08-21 20:41:27,0.315s,PASSED
"log.logInfo(""/---------------Party Onboarding---------------/"")",Chrome 76.0.3809.100,,,2019-08-21 20:41:27,2019-08-21 20:41:27,0.000s,PASSED
"log.logInfo(""--- Input Local Global ---"")",Chrome 76.0.3809.100,,,2019-08-21 20:41:27,2019-08-21 20:41:27,0.001s,PASSED
partyOnboardingEnterprise.inputLocalGlobal(s01_localglobal),Chrome 76.0.3809.100,,,2019-08-21 20:41:27,2019-08-21 20:41:28,1.572s,PASSED
"log.logInfo(""--- Input Party Type ---"")",Chrome 76.0.3809.100,,,2019-08-21 20:41:28,2019-08-21 20:41:28,0.002s,PASSED
partyOnboardingEnterprise.inputPartyType(s01_partytype),Chrome 76.0.3809.100,,,2019-08-21 20:41:28,2019-08-21 20:41:29,0.278s,PASSED
"log.logInfo(""--- Input Party Sub Type ---"")",Chrome 76.0.3809.100,,,2019-08-21 20:41:29,2019-08-21 20:41:29,0.001s,PASSED
partyOnboardingEnterprise.inputPartySubType(s01_partysubtype),Chrome 76.0.3809.100,,,2019-08-21 20:41:29,2019-08-21 20:41:31,2.004s,PASSED
"log.logInfo(""--- Input Party Category ---"")",Chrome 76.0.3809.100,,,2019-08-21 20:41:31,2019-08-21 20:41:31,0.001s,PASSED
partyOnboardingEnterprise.inputPartyCategory(s01_partycategory),Chrome 76.0.3809.100,,,2019-08-21 20:41:31,2019-08-21 20:41:31,0.185s,PASSED
"log.logInfo(""--- Check Line of Business ---"")",Chrome 76.0.3809.100,,,2019-08-21 20:41:31,2019-08-21 20:41:31,0.001s,PASSED
"partyOnboardingEnterprise.clickLineofBusiness(s01_lineofbusiness, findTestObject(""PartyOnboarding/PartyOnboarding/div_Core Banking""))",Chrome 76.0.3809.100,,,2019-08-21 20:41:31,2019-08-21 20:41:32,0.672s,PASSED
"log.logInfo(""--- Click Next to Party Check List  ---"")",Chrome 76.0.3809.100,,,2019-08-21 20:41:32,2019-08-21 20:41:32,0.000s,PASSED
partyOnboardingEnterprise.clickNextbutton(),Chrome 76.0.3809.100,,,2019-08-21 20:41:32,2019-08-21 20:41:32,0.130s,PASSED
delay(1),Chrome 76.0.3809.100,,,2019-08-21 20:41:32,2019-08-21 20:41:33,1.001s,PASSED
partyOnboardingEnterprise.clickNextbutton(),Chrome 76.0.3809.100,,,2019-08-21 20:41:33,2019-08-21 20:41:33,0.145s,PASSED
"log.logInfo(""/---------------Pre-Existence Check---------------/"")",Chrome 76.0.3809.100,,,2019-08-21 20:41:33,2019-08-21 20:41:33,0.000s,PASSED
partyOnboardingEnterprise.inputEnterpriseName(s02_enterpriseName),Chrome 76.0.3809.100,,,2019-08-21 20:41:33,2019-08-21 20:41:34,0.767s,PASSED
partyOnboardingEnterprise.inputRegistration(),Chrome 76.0.3809.100,,,2019-08-21 20:41:34,2019-08-21 20:41:34,0.155s,PASSED
partyOnboardingEnterprise.clickNextbutton(),Chrome 76.0.3809.100,,,2019-08-21 20:41:34,2019-08-21 20:41:34,0.100s,PASSED
"log.logInfo(""/--------------- Party Onboarding---------------/"")",Chrome 76.0.3809.100,,,2019-08-21 20:41:34,2019-08-21 20:41:34,0.000s,PASSED
partyOnboardingEnterprise.inputPartyId(),Chrome 76.0.3809.100,,,2019-08-21 20:41:34,2019-08-21 20:42:07,32.726s,PASSED
partyOnboardingEnterprise.inputShortNameEnterprise(s03_shortName),Chrome 76.0.3809.100,,,2019-08-21 20:42:07,2019-08-21 20:42:07,0.230s,PASSED
partyOnboardingEnterprise.clickNextbutton(),Chrome 76.0.3809.100,,,2019-08-21 20:42:07,2019-08-21 20:42:07,0.226s,PASSED
partyOnboardingEnterprise.clickProcessInWarningBox(),Chrome 76.0.3809.100,,,2019-08-21 20:42:07,2019-08-21 20:42:08,0.667s,PASSED
"log.logInfo(""/--------------- Party Onboarding - Address---------------/"")",Chrome 76.0.3809.100,,,2019-08-21 20:42:08,2019-08-21 20:42:08,0.001s,PASSED
"partyOnboardingEnterprise.inputRDataForAddressParty(s04_addressType, s04_userForCommunication, s04_validFrom)",Chrome 76.0.3809.100,,,2019-08-21 20:42:08,2019-08-21 20:42:13,4.828s,PASSED
partyOnboardingEnterprise.clickNextbutton(),Chrome 76.0.3809.100,,,2019-08-21 20:42:13,2019-08-21 20:42:13,0.140s,PASSED
"partyOnboardingEnterprise.inputDataForPartyContacts(s05_contactMethod, s05_contactTypeLocation, s05_contactCountryCode, s05_contactAreaCode, s05_contactNumber, s05_contactEmail, s05_confirmEmail, s05_validFrom)",Chrome 76.0.3809.100,,,2019-08-21 20:42:13,2019-08-21 20:42:28,15.038s,PASSED
partyOnboardingEnterprise.clickNextbutton(),Chrome 76.0.3809.100,,,2019-08-21 20:42:28,2019-08-21 20:42:28,0.169s,PASSED
"partyOnboardingEnterprise.inputDataForPartyRequiredDocuments(s06_documentCategory, s06_kycExpired, s06_documentType, s06_validFrom, s06_validTo, s06_referenceNumber, s06_issuingAuthority, s06_issuingCountry, s06_documentVerified, s06_image, s06_documentCollectionStatus)",Chrome 76.0.3809.100,,,2019-08-21 20:42:28,2019-08-21 20:43:43,1m - 15.410s,PASSED
