Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
PartyOnboardingPersonal,Chrome 76.0.3809.100,,,2019-08-22 20:00:40,2019-08-22 20:04:16,3m - 35.881s,INCOMPLETE
,,,,,,,
Test Cases/Login,Chrome 76.0.3809.100,"user: user31
Pass: user31",,2019-08-22 20:00:41,2019-08-22 20:00:53,12.666s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 76.0.3809.100,,,2019-08-22 20:00:41,2019-08-22 20:00:41,0.191s,PASSED
logger = new com.kms.katalon.core.util.KeywordUtil(),Chrome 76.0.3809.100,,,2019-08-22 20:00:41,2019-08-22 20:00:41,0.008s,PASSED
loginPage = new pageObjects.LoginPage(),Chrome 76.0.3809.100,,,2019-08-22 20:00:41,2019-08-22 20:00:41,0.035s,PASSED
"logger.logInfo(""Login - Step01 - Open browser"")",Chrome 76.0.3809.100,,,2019-08-22 20:00:41,2019-08-22 20:00:41,0.003s,PASSED
"loginPage.openBrowser(url, active)",Chrome 76.0.3809.100,,,2019-08-22 20:00:41,2019-08-22 20:00:52,10.288s,PASSED
"logger.logInfo(""Login - Step02 - Input Username"")",Chrome 76.0.3809.100,,,2019-08-22 20:00:52,2019-08-22 20:00:52,0.003s,PASSED
"loginPage.inputUsername(username, active)",Chrome 76.0.3809.100,,,2019-08-22 20:00:52,2019-08-22 20:00:52,0.214s,PASSED
"logger.logInfo(""Login - Step03 - Input Password"")",Chrome 76.0.3809.100,,,2019-08-22 20:00:52,2019-08-22 20:00:52,0.001s,PASSED
"loginPage.inputPassword(password, active)",Chrome 76.0.3809.100,,,2019-08-22 20:00:52,2019-08-22 20:00:52,0.127s,PASSED
"logger.logInfo(""Login - Step04 - Click Sign In button"")",Chrome 76.0.3809.100,,,2019-08-22 20:00:52,2019-08-22 20:00:52,0.002s,PASSED
loginPage.clickSingin(active),Chrome 76.0.3809.100,,,2019-08-22 20:00:52,2019-08-22 20:00:53,1.305s,PASSED
"logger.logInfo(""Login - wait load page"")",Chrome 76.0.3809.100,,,2019-08-22 20:00:53,2019-08-22 20:00:53,0.001s,PASSED
loginPage.waitLoadPage(active),Chrome 76.0.3809.100,,,2019-08-22 20:00:53,2019-08-22 20:00:53,0.099s,PASSED
,,,,,,,
Test Cases/DataPreparation/PartyOnboardingPersonal,Chrome 76.0.3809.100,Data Preparation,,2019-08-22 20:00:53,2019-08-22 20:04:16,3m - 22.450s,PASSED
