Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
PartyOnboardingPersonal,Chrome 76.0.3809.100,,,2019-08-21 20:13:36,2019-08-21 20:14:14,38.022s,INCOMPLETE
,,,,,,,
Test Cases/Login,Chrome 76.0.3809.100,"user: user31
Pass: user31",,2019-08-21 20:13:36,2019-08-21 20:13:47,11.462s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 76.0.3809.100,,,2019-08-21 20:13:36,2019-08-21 20:13:36,0.214s,PASSED
logger = new com.kms.katalon.core.util.KeywordUtil(),Chrome 76.0.3809.100,,,2019-08-21 20:13:37,2019-08-21 20:13:37,0.008s,PASSED
loginPage = new pageObjects.LoginPage(),Chrome 76.0.3809.100,,,2019-08-21 20:13:37,2019-08-21 20:13:37,0.055s,PASSED
"logger.logInfo(""Login - Step01 - Open browser"")",Chrome 76.0.3809.100,,,2019-08-21 20:13:37,2019-08-21 20:13:37,0.003s,PASSED
"loginPage.openBrowser(url, active)",Chrome 76.0.3809.100,,,2019-08-21 20:13:37,2019-08-21 20:13:46,8.820s,PASSED
"logger.logInfo(""Login - Step02 - Input Username"")",Chrome 76.0.3809.100,,,2019-08-21 20:13:46,2019-08-21 20:13:46,0.001s,PASSED
"loginPage.inputUsername(username, active)",Chrome 76.0.3809.100,,,2019-08-21 20:13:46,2019-08-21 20:13:46,0.308s,PASSED
"logger.logInfo(""Login - Step03 - Input Password"")",Chrome 76.0.3809.100,,,2019-08-21 20:13:46,2019-08-21 20:13:46,0.002s,PASSED
"loginPage.inputPassword(password, active)",Chrome 76.0.3809.100,,,2019-08-21 20:13:46,2019-08-21 20:13:46,0.147s,PASSED
"logger.logInfo(""Login - Step04 - Click Sign In button"")",Chrome 76.0.3809.100,,,2019-08-21 20:13:46,2019-08-21 20:13:46,0.001s,PASSED
loginPage.clickSingin(active),Chrome 76.0.3809.100,,,2019-08-21 20:13:46,2019-08-21 20:13:47,1.255s,PASSED
"logger.logInfo(""Login - wait load page"")",Chrome 76.0.3809.100,,,2019-08-21 20:13:47,2019-08-21 20:13:47,0.003s,PASSED
loginPage.waitLoadPage(active),Chrome 76.0.3809.100,,,2019-08-21 20:13:47,2019-08-21 20:13:47,0.125s,PASSED
,,,,,,,
Test Cases/DataPreparation/ConfirmDataPreparation,Chrome 76.0.3809.100,,,2019-08-21 20:13:47,2019-08-21 20:14:13,25.781s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 76.0.3809.100,,,2019-08-21 20:13:47,2019-08-21 20:13:47,0.001s,PASSED
log = new com.kms.katalon.core.logging.KeywordLogger(),Chrome 76.0.3809.100,,,2019-08-21 20:13:48,2019-08-21 20:13:48,0.003s,PASSED
notificationPage = new pageObjects.NotificationPage(),Chrome 76.0.3809.100,,,2019-08-21 20:13:48,2019-08-21 20:13:48,0.067s,PASSED
"step = """"",Chrome 76.0.3809.100,,,2019-08-21 20:13:48,2019-08-21 20:13:48,0.001s,PASSED
"step = ""1""",Chrome 76.0.3809.100,,,2019-08-21 20:13:48,2019-08-21 20:13:48,0.004s,PASSED
"log.logInfo(""Confirmation - Step0"" + step + "" Click Notification icon"")",Chrome 76.0.3809.100,,,2019-08-21 20:13:48,2019-08-21 20:13:48,0.003s,PASSED
notificationPage.clickNotificationIcon(),Chrome 76.0.3809.100,,,2019-08-21 20:13:48,2019-08-21 20:13:50,2.298s,PASSED
"step = ""2""",Chrome 76.0.3809.100,,,2019-08-21 20:13:50,2019-08-21 20:13:50,0.001s,PASSED
"log.logInfo(""Confirmation - Step0"" + step + "" Click Approval description"")",Chrome 76.0.3809.100,,,2019-08-21 20:13:50,2019-08-21 20:13:50,0.003s,PASSED
"notificationPage.clickDescription(""Approval"")",Chrome 76.0.3809.100,,,2019-08-21 20:13:50,2019-08-21 20:13:52,1.438s,PASSED
"step = ""3""",Chrome 76.0.3809.100,,,2019-08-21 20:13:52,2019-08-21 20:13:52,0.001s,PASSED
"log.logInfo(""Confirmation - Step0"" + step + "" Confirmed Party Creation"")",Chrome 76.0.3809.100,,,2019-08-21 20:13:52,2019-08-21 20:13:52,0.001s,PASSED
"notificationPage.clickConfirmed(description, ""Approval"")",Chrome 76.0.3809.100,,,2019-08-21 20:13:52,2019-08-21 20:14:13,21.572s,PASSED
,,,,,,,
Test Cases/LogOutFromSystem,Chrome 76.0.3809.100,,,2019-08-21 20:14:13,2019-08-21 20:14:14,0.426s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 76.0.3809.100,,,2019-08-21 20:14:13,2019-08-21 20:14:13,0.001s,PASSED
"click(findTestObject(""LogOut/Menu_Logoff""))",Chrome 76.0.3809.100,,,2019-08-21 20:14:13,2019-08-21 20:14:14,0.111s,PASSED
"click(findTestObject(""LogOut/SignOut""))",Chrome 76.0.3809.100,,,2019-08-21 20:14:14,2019-08-21 20:14:14,0.096s,PASSED
