Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
PartyOnboardingPersonal,Chrome 76.0.3809.100,,,2019-08-22 19:12:06,2019-08-22 19:13:36,1m - 29.959s,INCOMPLETE
,,,,,,,
Test Cases/Login,Chrome 76.0.3809.100,"user: user31
Pass: user31",,2019-08-22 19:12:06,2019-08-22 19:12:17,10.633s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 76.0.3809.100,,,2019-08-22 19:12:06,2019-08-22 19:12:07,0.229s,PASSED
logger = new com.kms.katalon.core.util.KeywordUtil(),Chrome 76.0.3809.100,,,2019-08-22 19:12:07,2019-08-22 19:12:07,0.006s,PASSED
loginPage = new pageObjects.LoginPage(),Chrome 76.0.3809.100,,,2019-08-22 19:12:07,2019-08-22 19:12:07,0.033s,PASSED
"logger.logInfo(""Login - Step01 - Open browser"")",Chrome 76.0.3809.100,,,2019-08-22 19:12:07,2019-08-22 19:12:07,0.003s,PASSED
"loginPage.openBrowser(url, active)",Chrome 76.0.3809.100,,,2019-08-22 19:12:07,2019-08-22 19:12:15,8.221s,PASSED
"logger.logInfo(""Login - Step02 - Input Username"")",Chrome 76.0.3809.100,,,2019-08-22 19:12:15,2019-08-22 19:12:15,0.002s,PASSED
"loginPage.inputUsername(username, active)",Chrome 76.0.3809.100,,,2019-08-22 19:12:15,2019-08-22 19:12:15,0.215s,PASSED
"logger.logInfo(""Login - Step03 - Input Password"")",Chrome 76.0.3809.100,,,2019-08-22 19:12:15,2019-08-22 19:12:15,0.001s,PASSED
"loginPage.inputPassword(password, active)",Chrome 76.0.3809.100,,,2019-08-22 19:12:15,2019-08-22 19:12:16,0.143s,PASSED
"logger.logInfo(""Login - Step04 - Click Sign In button"")",Chrome 76.0.3809.100,,,2019-08-22 19:12:16,2019-08-22 19:12:16,0.001s,PASSED
loginPage.clickSingin(active),Chrome 76.0.3809.100,,,2019-08-22 19:12:16,2019-08-22 19:12:17,1.307s,PASSED
"logger.logInfo(""Login - wait load page"")",Chrome 76.0.3809.100,,,2019-08-22 19:12:17,2019-08-22 19:12:17,0.001s,PASSED
loginPage.waitLoadPage(active),Chrome 76.0.3809.100,,,2019-08-22 19:12:17,2019-08-22 19:12:17,0.101s,PASSED
,,,,,,,
Test Cases/DataPreparation/PartyOnboardingPersonal,Chrome 76.0.3809.100,Data Preparation,,2019-08-22 19:12:17,2019-08-22 19:13:35,1m - 18.349s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 76.0.3809.100,,,2019-08-22 19:12:17,2019-08-22 19:12:17,0.001s,PASSED
partyOnboardingPersonal = new pageObjects.PartyOnboarding(),Chrome 76.0.3809.100,,,2019-08-22 19:12:17,2019-08-22 19:12:17,0.059s,PASSED
abtractTest = new commons.AbtractTest(),Chrome 76.0.3809.100,,,2019-08-22 19:12:17,2019-08-22 19:12:17,0.002s,PASSED
excelFiles = new report.ExcelFiles(),Chrome 76.0.3809.100,,,2019-08-22 19:12:17,2019-08-22 19:12:17,0.002s,PASSED
log = new com.kms.katalon.core.util.KeywordUtil(),Chrome 76.0.3809.100,,,2019-08-22 19:12:17,2019-08-22 19:12:17,0.001s,PASSED
"results = """"",Chrome 76.0.3809.100,,,2019-08-22 19:12:17,2019-08-22 19:12:17,0.001s,PASSED
delay(3),Chrome 76.0.3809.100,,,2019-08-22 19:12:17,2019-08-22 19:12:20,3.036s,PASSED
"log.logInfo(""--- Open Party Onboarding in Menu Search ---"")",Chrome 76.0.3809.100,,,2019-08-22 19:12:20,2019-08-22 19:12:20,0.004s,PASSED
partyOnboardingPersonal.inputPartyOnboardingMenuSearch(),Chrome 76.0.3809.100,,,2019-08-22 19:12:20,2019-08-22 19:12:21,0.430s,PASSED
"log.logInfo(""--- Input Local Global ---"")",Chrome 76.0.3809.100,,,2019-08-22 19:12:21,2019-08-22 19:12:21,0.001s,PASSED
partyOnboardingPersonal.inputLocalGlobal(s05_localglobal),Chrome 76.0.3809.100,,,2019-08-22 19:12:21,2019-08-22 19:12:23,1.707s,PASSED
"log.logInfo(""--- Input Party Type ---"")",Chrome 76.0.3809.100,,,2019-08-22 19:12:23,2019-08-22 19:12:23,0.001s,PASSED
partyOnboardingPersonal.inputPartyType(s05_partytype),Chrome 76.0.3809.100,,,2019-08-22 19:12:23,2019-08-22 19:12:23,0.296s,PASSED
"log.logInfo(""--- Input Party Sub Type ---"")",Chrome 76.0.3809.100,,,2019-08-22 19:12:23,2019-08-22 19:12:23,0.001s,PASSED
partyOnboardingPersonal.inputPartySubType(s05_partysubtype),Chrome 76.0.3809.100,,,2019-08-22 19:12:23,2019-08-22 19:12:24,1.267s,PASSED
"log.logInfo(""--- Input Party Category ---"")",Chrome 76.0.3809.100,,,2019-08-22 19:12:24,2019-08-22 19:12:24,0.001s,PASSED
partyOnboardingPersonal.inputPartyCategory(s05_partycategory),Chrome 76.0.3809.100,,,2019-08-22 19:12:24,2019-08-22 19:12:24,0.203s,PASSED
"log.logInfo(""--- Check Line of Business ---"")",Chrome 76.0.3809.100,,,2019-08-22 19:12:24,2019-08-22 19:12:24,0.002s,PASSED
"log.logInfo(""--- Click Next to Party Check List  ---"")",Chrome 76.0.3809.100,,,2019-08-22 19:12:24,2019-08-22 19:12:24,0.002s,PASSED
partyOnboardingPersonal.clickNextbutton(),Chrome 76.0.3809.100,,,2019-08-22 19:12:24,2019-08-22 19:12:25,0.205s,PASSED
delay(1),Chrome 76.0.3809.100,,,2019-08-22 19:12:25,2019-08-22 19:12:26,1.003s,PASSED
"log.logInfo(""--- Click Next to Party Pre-Existence Check  ---"")",Chrome 76.0.3809.100,,,2019-08-22 19:12:26,2019-08-22 19:12:26,0.002s,PASSED
partyOnboardingPersonal.clickNextbutton(),Chrome 76.0.3809.100,,,2019-08-22 19:12:26,2019-08-22 19:12:26,0.146s,PASSED
delay(1),Chrome 76.0.3809.100,,,2019-08-22 19:12:26,2019-08-22 19:12:27,1.003s,PASSED
"log.logInfo(""--- Input data on Party Pre-Existence Check  ---"")",Chrome 76.0.3809.100,,,2019-08-22 19:12:27,2019-08-22 19:12:27,0.002s,PASSED
"partyOnboardingPersonal.inputPreExistenceCheck(s08_firstname, s08_dateofbirth, s08_nationalldType, s08_nationalldNo, s08_lastname, s08_strState, s08_district01, s08_district02, s08_district03, s08_strType, s08_strregstrationNo)",Chrome 76.0.3809.100,,,2019-08-22 19:12:27,2019-08-22 19:12:28,1.014s,PASSED
"log.logInfo(""--- Click Next button ---"")",Chrome 76.0.3809.100,,,2019-08-22 19:12:28,2019-08-22 19:12:28,0.002s,PASSED
partyOnboardingPersonal.clickNextbutton(),Chrome 76.0.3809.100,,,2019-08-22 19:12:28,2019-08-22 19:12:28,0.119s,PASSED
"log.logInfo(""--- Key in data all required fields on Personal Party - PartyId ---"")",Chrome 76.0.3809.100,,,2019-08-22 19:12:28,2019-08-22 19:12:28,0.002s,PASSED
partyOnboardingPersonal.inputPartyId(),Chrome 76.0.3809.100,,,2019-08-22 19:12:28,2019-08-22 19:13:01,32.788s,PASSED
"log.logInfo(""--- Key in data all required fields on Personal Party - Input Nation Identifer Type ---"")",Chrome 76.0.3809.100,,,2019-08-22 19:13:01,2019-08-22 19:13:01,0.000s,PASSED
partyOnboardingPersonal.inputNationalIdentifierType(s09_nationIdentifierType),Chrome 76.0.3809.100,,,2019-08-22 19:13:01,2019-08-22 19:13:01,0.226s,PASSED
"log.logInfo(""--- Key in data all required fields on Personal Party - Input Nation Identifer ---"")",Chrome 76.0.3809.100,,,2019-08-22 19:13:01,2019-08-22 19:13:01,0.001s,PASSED
partyOnboardingPersonal.inputNationalIdentifier(s09_nationIdentifier),Chrome 76.0.3809.100,,,2019-08-22 19:13:01,2019-08-22 19:13:01,0.151s,PASSED
"log.logInfo(""--- Key in data all required fields on Personal Party - Input Title ---"")",Chrome 76.0.3809.100,,,2019-08-22 19:13:01,2019-08-22 19:13:01,0.002s,PASSED
