Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
PartyOnboardingPersonal,Chrome 76.0.3809.100,,,2019-08-22 19:40:44,2019-08-22 19:44:48,4m - 3.826s,INCOMPLETE
,,,,,,,
Test Cases/Login,Chrome 76.0.3809.100,"user: user31
Pass: user31",,2019-08-22 19:40:45,2019-08-22 19:40:58,13.406s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 76.0.3809.100,,,2019-08-22 19:40:45,2019-08-22 19:40:45,0.271s,PASSED
logger = new com.kms.katalon.core.util.KeywordUtil(),Chrome 76.0.3809.100,,,2019-08-22 19:40:46,2019-08-22 19:40:46,0.006s,PASSED
loginPage = new pageObjects.LoginPage(),Chrome 76.0.3809.100,,,2019-08-22 19:40:46,2019-08-22 19:40:46,0.034s,PASSED
"logger.logInfo(""Login - Step01 - Open browser"")",Chrome 76.0.3809.100,,,2019-08-22 19:40:46,2019-08-22 19:40:46,0.004s,PASSED
"loginPage.openBrowser(url, active)",Chrome 76.0.3809.100,,,2019-08-22 19:40:46,2019-08-22 19:40:56,10.379s,PASSED
"logger.logInfo(""Login - Step02 - Input Username"")",Chrome 76.0.3809.100,,,2019-08-22 19:40:56,2019-08-22 19:40:56,0.002s,PASSED
"loginPage.inputUsername(username, active)",Chrome 76.0.3809.100,,,2019-08-22 19:40:56,2019-08-22 19:40:56,0.294s,PASSED
"logger.logInfo(""Login - Step03 - Input Password"")",Chrome 76.0.3809.100,,,2019-08-22 19:40:56,2019-08-22 19:40:56,0.002s,PASSED
"loginPage.inputPassword(password, active)",Chrome 76.0.3809.100,,,2019-08-22 19:40:56,2019-08-22 19:40:56,0.240s,PASSED
"logger.logInfo(""Login - Step04 - Click Sign In button"")",Chrome 76.0.3809.100,,,2019-08-22 19:40:56,2019-08-22 19:40:56,0.001s,PASSED
loginPage.clickSingin(active),Chrome 76.0.3809.100,,,2019-08-22 19:40:56,2019-08-22 19:40:58,1.588s,PASSED
"logger.logInfo(""Login - wait load page"")",Chrome 76.0.3809.100,,,2019-08-22 19:40:58,2019-08-22 19:40:58,0.003s,PASSED
loginPage.waitLoadPage(active),Chrome 76.0.3809.100,,,2019-08-22 19:40:58,2019-08-22 19:40:58,0.135s,PASSED
,,,,,,,
Test Cases/DataPreparation/PartyOnboardingPersonal,Chrome 76.0.3809.100,Data Preparation,,2019-08-22 19:40:58,2019-08-22 19:44:48,3m - 49.653s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 76.0.3809.100,,,2019-08-22 19:40:58,2019-08-22 19:40:58,0.002s,PASSED
partyOnboardingPersonal = new pageObjects.PartyOnboarding(),Chrome 76.0.3809.100,,,2019-08-22 19:40:59,2019-08-22 19:40:59,0.065s,PASSED
abtractTest = new commons.AbtractTest(),Chrome 76.0.3809.100,,,2019-08-22 19:40:59,2019-08-22 19:40:59,0.002s,PASSED
excelFiles = new report.ExcelFiles(),Chrome 76.0.3809.100,,,2019-08-22 19:40:59,2019-08-22 19:40:59,0.001s,PASSED
log = new com.kms.katalon.core.util.KeywordUtil(),Chrome 76.0.3809.100,,,2019-08-22 19:40:59,2019-08-22 19:40:59,0.000s,PASSED
"results = """"",Chrome 76.0.3809.100,,,2019-08-22 19:40:59,2019-08-22 19:40:59,0.001s,PASSED
delay(3),Chrome 76.0.3809.100,,,2019-08-22 19:40:59,2019-08-22 19:41:02,3.055s,PASSED
"log.logInfo(""--- Open Party Onboarding in Menu Search ---"")",Chrome 76.0.3809.100,,,2019-08-22 19:41:02,2019-08-22 19:41:02,0.002s,PASSED
partyOnboardingPersonal.inputPartyOnboardingMenuSearch(),Chrome 76.0.3809.100,,,2019-08-22 19:41:02,2019-08-22 19:41:02,0.471s,PASSED
"log.logInfo(""--- Input Local Global ---"")",Chrome 76.0.3809.100,,,2019-08-22 19:41:02,2019-08-22 19:41:02,0.001s,PASSED
delay(2),Chrome 76.0.3809.100,,,2019-08-22 19:41:02,2019-08-22 19:41:04,2.004s,PASSED
partyOnboardingPersonal.inputLocalGlobal(s05_localglobal),Chrome 76.0.3809.100,,,2019-08-22 19:41:04,2019-08-22 19:41:05,0.589s,PASSED
"log.logInfo(""--- Input Party Type ---"")",Chrome 76.0.3809.100,,,2019-08-22 19:41:05,2019-08-22 19:41:05,0.003s,PASSED
delay(2),Chrome 76.0.3809.100,,,2019-08-22 19:41:05,2019-08-22 19:41:07,2.003s,PASSED
