Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
PartyOnboardingPersonal,Chrome 76.0.3809.100,,,2019-08-21 11:02:40,2019-08-21 11:05:39,2m - 59.254s,INCOMPLETE
,,,,,,,
Test Cases/Login,Chrome 76.0.3809.100,"user: user31
Pass: user31",,2019-08-21 11:02:40,2019-08-21 11:02:55,14.369s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 76.0.3809.100,,,2019-08-21 11:02:40,2019-08-21 11:02:41,0.233s,PASSED
logger = new com.kms.katalon.core.util.KeywordUtil(),Chrome 76.0.3809.100,,,2019-08-21 11:02:41,2019-08-21 11:02:41,0.010s,PASSED
loginPage = new pageObjects.LoginPage(),Chrome 76.0.3809.100,,,2019-08-21 11:02:41,2019-08-21 11:02:41,0.034s,PASSED
"logger.logInfo(""Login - Step01 - Open browser"")",Chrome 76.0.3809.100,,,2019-08-21 11:02:41,2019-08-21 11:02:41,0.013s,PASSED
"loginPage.openBrowser(url, active)",Chrome 76.0.3809.100,,,2019-08-21 11:02:41,2019-08-21 11:02:53,11.483s,PASSED
"logger.logInfo(""Login - Step02 - Input Username"")",Chrome 76.0.3809.100,,,2019-08-21 11:02:53,2019-08-21 11:02:53,0.001s,PASSED
"loginPage.inputUsername(username, active)",Chrome 76.0.3809.100,,,2019-08-21 11:02:53,2019-08-21 11:02:53,0.232s,PASSED
"logger.logInfo(""Login - Step03 - Input Password"")",Chrome 76.0.3809.100,,,2019-08-21 11:02:53,2019-08-21 11:02:53,0.001s,PASSED
"loginPage.inputPassword(password, active)",Chrome 76.0.3809.100,,,2019-08-21 11:02:53,2019-08-21 11:02:53,0.177s,PASSED
"logger.logInfo(""Login - Step04 - Click Sign In button"")",Chrome 76.0.3809.100,,,2019-08-21 11:02:53,2019-08-21 11:02:53,0.002s,PASSED
loginPage.clickSingin(active),Chrome 76.0.3809.100,,,2019-08-21 11:02:53,2019-08-21 11:02:55,1.568s,PASSED
"logger.logInfo(""Login - wait load page"")",Chrome 76.0.3809.100,,,2019-08-21 11:02:55,2019-08-21 11:02:55,0.002s,PASSED
loginPage.waitLoadPage(active),Chrome 76.0.3809.100,,,2019-08-21 11:02:55,2019-08-21 11:02:55,0.125s,PASSED
,,,,,,,
Test Cases/DataPreparation/ConfirmDataPreparation,Chrome 76.0.3809.100,,,2019-08-21 11:02:55,2019-08-21 11:05:39,2m - 44.506s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 76.0.3809.100,,,2019-08-21 11:02:55,2019-08-21 11:02:55,0.001s,PASSED
log = new com.kms.katalon.core.logging.KeywordLogger(),Chrome 76.0.3809.100,,,2019-08-21 11:02:55,2019-08-21 11:02:55,0.013s,PASSED
notificationPage = new pageObjects.NotificationPage(),Chrome 76.0.3809.100,,,2019-08-21 11:02:55,2019-08-21 11:02:55,0.086s,PASSED
"step = """"",Chrome 76.0.3809.100,,,2019-08-21 11:02:55,2019-08-21 11:02:55,0.004s,PASSED
"step = ""1""",Chrome 76.0.3809.100,,,2019-08-21 11:02:55,2019-08-21 11:02:55,0.002s,PASSED
"log.logInfo(""Confirmation - Step0"" + step + "" Click Notification icon"")",Chrome 76.0.3809.100,,,2019-08-21 11:02:55,2019-08-21 11:02:55,0.005s,PASSED
notificationPage.clickNotificationIcon(),Chrome 76.0.3809.100,,,2019-08-21 11:02:55,2019-08-21 11:02:58,2.299s,PASSED
"step = ""2""",Chrome 76.0.3809.100,,,2019-08-21 11:02:58,2019-08-21 11:02:58,0.001s,PASSED
"log.logInfo(""Confirmation - Step0"" + step + "" Click Approval description"")",Chrome 76.0.3809.100,,,2019-08-21 11:02:58,2019-08-21 11:02:58,0.001s,PASSED
"notificationPage.clickDescription(""Approval"")",Chrome 76.0.3809.100,,,2019-08-21 11:02:58,2019-08-21 11:02:59,1.369s,PASSED
"step = ""3""",Chrome 76.0.3809.100,,,2019-08-21 11:02:59,2019-08-21 11:02:59,0.001s,PASSED
"log.logInfo(""Confirmation - Step0"" + step + "" Confirmed Party Creation"")",Chrome 76.0.3809.100,,,2019-08-21 11:02:59,2019-08-21 11:02:59,0.001s,PASSED
notificationPage.clickConfirmed(description),Chrome 76.0.3809.100,,,2019-08-21 11:02:59,2019-08-21 11:03:00,1.027s,PASSED
"step = ""4""",Chrome 76.0.3809.100,,,2019-08-21 11:03:00,2019-08-21 11:03:00,0.001s,PASSED
"log.logInfo(""Confirmation - Step0"" + step + "" Tick to Denote Compliance"")",Chrome 76.0.3809.100,,,2019-08-21 11:03:00,2019-08-21 11:03:00,0.001s,PASSED
notificationPage.clickDenoteCompliance(),Chrome 76.0.3809.100,,,2019-08-21 11:03:00,2019-08-21 11:03:53,53.106s,PASSED
"step = ""5""",Chrome 76.0.3809.100,,,2019-08-21 11:03:53,2019-08-21 11:03:53,0.001s,PASSED
"log.logInfo(""Confirmation - Step0"" + step + "" Storing Party ID"")",Chrome 76.0.3809.100,,,2019-08-21 11:03:53,2019-08-21 11:03:53,0.001s,PASSED
"notificationPage.getPartyID(""Results_Data\PartyID.xlsx"", ""PartyID"")",Chrome 76.0.3809.100,,,2019-08-21 11:03:53,2019-08-21 11:05:39,1m - 46.191s,PASSED
